id,company,gap,location,status,priority,opened_at,opened_by_name,opened_by_phone,building,room_number,note
66b6fbe4-fad7-4646-bbd4-89bc4a71266c,בשור,קיר עם רטיבות,ספריית קמנים,טרם הועלה,בינוני,2026-08-15,,,,,חומרים בדרך
f368b024-08ee-4f89-ac3e-355f5ca58379,תמר,שילוט לא ברור,מגורי בנים,טרם הועלה,גבוה,2026-04-14,,,מבנה 1,408,דחוף לטפל השבוע
077876e1-0d5d-4934-87f0-aff1ffd50c33,רמון,כיור שבור,"פינת קק""ס",בטיפול,גבוה,2026-09-11,ליאור ביטון,052-5116155,,,
fb15f42a-25cd-4bd8-84e3-48d3060b9bc2,פארן,חלון בלי רשת יתושים,רחבת רמון,בטיפול,נמוך,2026-05-18,מאיה וקנין,058-9593103,,,
612f4971-3f18-434c-aff0-6f34ecdf8a62,צין,ארון בגדים שבור,פינת עישון,טרם הועלה,בינוני,2026-08-18,עומר טוויל,053-3419283,,,צריך להזמין קבלן חיצוני
890c413a-f3ca-4a84-b559-5a152bad85f1,צין,מזגן מטפטף,פינת פריסה,בטיפול,גבוה,2026-04-02,משה אברהם,050-5641395,,,מחכים לאישור תקציב
344179c9-c898-4c4b-9fca-0c2ba3589fab,רמון,אין תאורת חירום,שביל,בטיפול,בינוני,2026-04-01,,,,,השביל בין הפינות
66db19b0-9b06-4fd3-b4da-848d120b6a22,תמר,מעקה רופף,רחבת רמון,טרם הועלה,בינוני,2026-04-16,רון מלכה,050-0122691,,,יטופל בסבב הבא
07116061-7487-48d5-bf34-4da334daf584,פארן,מקלחת סתומה,דשא,טרם הועלה,בינוני,2026-04-30,אבי גבאי,058-5146270,,,הדשא ליד פינת הישיבה
ab874008-3b88-4334-92c5-f2327a76a802,תמר,נורה שרופה,"פינת גלח""צ",טופל,בינוני,2026-08-16,אורית דהן,052-5288095,,,
7b0e9885-cf91-40a7-8221-572751f68c66,צין,כיור שבור,"דקצ""ו (דק קמנים)",טרם הועלה,גבוה,2026-06-26,יוסי מזרחי,058-7182278,,,חומרים בדרך
3508f0de-0e0f-4b95-a1b0-7802ad6bd095,בשור,עמוד תאורה כבוי,פינת עישון,טרם הועלה,גבוה,2026-04-10,איתי וקנין,054-5787133,,,
6274e6af-b2ab-442e-bf63-f37ceef81cc5,בשור,אסלה סתומה,מתחם קמנים,טרם הועלה,גבוה,2026-04-24,,,,,
8c76965e-fc2f-4e87-a780-9371134026ff,תמר,נזילת מים מהתקרה,מגורי בנות,טרם הועלה,גבוה,2026-06-20,איתי ביטון,058-9973763,,,צריך להזמין קבלן חיצוני
a7aaa5b2-fc03-4353-9951-7291a2c225aa,צין,פח אשפה מלא וגדוש,שביל,טופל,גבוה,2026-05-16,אבי לוי,054-5133387,,,השביל מול חדר האוכל
af8ad8aa-8069-464b-9473-f133b02e9e8a,תמר,מזגן מרעיש,פינת פריסה,טרם הועלה,נמוך,2026-05-17,מאיה פרץ,050-8013267,,,צריך להזמין קבלן חיצוני
9bec1b59-ae7a-41cf-9687-9fab7aeba388,בשור,דלת לא נסגרת טוב,מגורי בנות,טרם הועלה,נמוך,2026-08-01,יונתן וקנין,054-8723430,אגף א,חדר מדרגות,יטופל בסבב הבא
