gap_id,change_type,field,old_value,new_value,changed_by,changed_at
90a76178-1e62-41fa-a84f-cafece203928,create,,,,נועה.אבידן@kalag.test,2026-04-22 12:27:00
90a76178-1e62-41fa-a84f-cafece203928,update,status,טרם הועלה,בטיפול,מאיה.לוי@kalag.test,2026-05-01 17:27:00
90a76178-1e62-41fa-a84f-cafece203928,update,status,בטיפול,טופל,יובל.שגיא@kalag.test,2026-05-10 22:27:00
90a76178-1e62-41fa-a84f-cafece203928,update,priority,בינוני,נמוך,מאיה.לוי@kalag.test,2026-07-27 14:27:00
a1b6aadc-4724-4c76-ac90-14d664e3e118,create,,,,יובל.שגיא@kalag.test,2026-06-03 08:24:00
a1b6aadc-4724-4c76-ac90-14d664e3e118,update,note,,מחכים לאישור תקציב,טל.רוזן@kalag.test,2026-06-08 08:24:00
a1b6aadc-4724-4c76-ac90-14d664e3e118,update,status,טרם הועלה,בטיפול,מאיה.לוי@kalag.test,2026-06-17 10:24:00
a1b6aadc-4724-4c76-ac90-14d664e3e118,update,status,בטיפול,טופל,עידו.פרץ@kalag.test,2026-06-19 12:24:00
d1770392-2ef4-40f5-95ea-325f688ca224,create,,,,טל.רוזן@kalag.test,2026-07-24 18:48:00
d1770392-2ef4-40f5-95ea-325f688ca224,update,status,טרם הועלה,בטיפול,טל.רוזן@kalag.test,2026-07-29 23:48:00
d1770392-2ef4-40f5-95ea-325f688ca224,update,priority,גבוה,בינוני,עידו.פרץ@kalag.test,2026-08-29 05:48:00
df5ba32a-b823-470c-a966-30be1420b007,create,,,,מאיה.לוי@kalag.test,2026-04-21 19:23:00
df5ba32a-b823-470c-a966-30be1420b007,update,status,טרם הועלה,בטיפול,עידו.פרץ@kalag.test,2026-05-05 00:23:00
df5ba32a-b823-470c-a966-30be1420b007,update,priority,נמוך,בינוני,נועה.אבידן@kalag.test,2026-05-22 01:23:00
df5ba32a-b823-470c-a966-30be1420b007,update,note,,דווח כבר פעם קודמת,עידו.פרץ@kalag.test,2026-07-29 00:23:00
d4605297-59c7-4d7b-b551-5e68c9ddb165,create,,,,מאיה.לוי@kalag.test,2026-05-31 13:49:00
d4605297-59c7-4d7b-b551-5e68c9ddb165,update,status,טרם הועלה,בטיפול,טל.רוזן@kalag.test,2026-06-06 18:49:00
d4605297-59c7-4d7b-b551-5e68c9ddb165,update,priority,בינוני,גבוה,נועה.אבידן@kalag.test,2026-09-03 18:49:00
67242e30-ba5e-4768-88eb-5d229c11c64c,create,,,,עידו.פרץ@kalag.test,2026-03-22 19:35:00
67242e30-ba5e-4768-88eb-5d229c11c64c,update,status,טרם הועלה,בטיפול,נועה.אבידן@kalag.test,2026-04-03 19:35:00
67242e30-ba5e-4768-88eb-5d229c11c64c,update,priority,גבוה,בינוני,דניאל.כהן@kalag.test,2026-07-03 23:35:00
0953e837-3e8d-432e-8c68-0f10e7e5b3d7,create,,,,טל.רוזן@kalag.test,2026-07-05 10:30:00
0953e837-3e8d-432e-8c68-0f10e7e5b3d7,update,status,טרם הועלה,בטיפול,דניאל.כהן@kalag.test,2026-07-11 12:30:00
0953e837-3e8d-432e-8c68-0f10e7e5b3d7,update,status,בטיפול,טופל,עידו.פרץ@kalag.test,2026-07-12 12:30:00
1fb32ae5-54ce-4ab5-b722-707699ede09a,create,,,,נועה.אבידן@kalag.test,2026-07-21 16:30:00
1fb32ae5-54ce-4ab5-b722-707699ede09a,update,status,טרם הועלה,בטיפול,עידו.פרץ@kalag.test,2026-07-31 18:30:00
1fb32ae5-54ce-4ab5-b722-707699ede09a,update,note,,חומרים בדרך,יובל.שגיא@kalag.test,2026-08-24 22:30:00
1fb32ae5-54ce-4ab5-b722-707699ede09a,update,priority,בינוני,גבוה,טל.רוזן@kalag.test,2026-09-08 17:30:00
c90b5134-146b-4123-a3c2-fde320202617,create,,,,נועה.אבידן@kalag.test,2026-03-21 12:58:00
c90b5134-146b-4123-a3c2-fde320202617,update,status,טרם הועלה,בטיפול,מאיה.לוי@kalag.test,2026-03-22 18:58:00
c90b5134-146b-4123-a3c2-fde320202617,update,status,בטיפול,טופל,עידו.פרץ@kalag.test,2026-04-02 22:58:00
c90b5134-146b-4123-a3c2-fde320202617,update,opened_by_phone,,050-1084364,מאיה.לוי@kalag.test,2026-05-09 16:58:00
ec824aca-ad80-4129-afc8-e38b3b7dd211,create,,,,מאיה.לוי@kalag.test,2026-05-02 10:43:00
ec824aca-ad80-4129-afc8-e38b3b7dd211,update,priority,גבוה,בינוני,מאיה.לוי@kalag.test,2026-08-10 10:43:00
8e6cf80e-249e-4458-9f38-06f1875f5a03,create,,,,יובל.שגיא@kalag.test,2026-04-08 19:41:00
8e6cf80e-249e-4458-9f38-06f1875f5a03,update,status,טרם הועלה,בטיפול,יובל.שגיא@kalag.test,2026-04-10 23:41:00
844dab26-2e44-454a-b805-c70f7b93061d,create,,,,דניאל.כהן@kalag.test,2026-08-10 07:56:00
b569633f-4a4d-4e9d-b785-c4d6c71fb052,create,,,,מאיה.לוי@kalag.test,2026-08-26 16:10:00
b569633f-4a4d-4e9d-b785-c4d6c71fb052,update,status,טרם הועלה,בטיפול,מאיה.לוי@kalag.test,2026-09-09 17:10:00
3d7b82c6-d7ef-4329-8326-58e62a60cdde,create,,,,עידו.פרץ@kalag.test,2026-05-08 12:18:00
3d7b82c6-d7ef-4329-8326-58e62a60cdde,update,status,טרם הועלה,בטיפול,יובל.שגיא@kalag.test,2026-05-20 17:18:00
d48dbefa-ac52-4ac5-8deb-4ed828cd08dd,create,,,,טל.רוזן@kalag.test,2026-05-23 20:32:00
d48dbefa-ac52-4ac5-8deb-4ed828cd08dd,update,status,טרם הועלה,בטיפול,דניאל.כהן@kalag.test,2026-05-26 20:32:00
7388bfa5-de67-411a-9439-6b117d87785f,create,,,,טל.רוזן@kalag.test,2026-09-10 14:49:00
be692e2b-2328-432b-b85d-125eec1f3602,create,,,,דניאל.כהן@kalag.test,2026-06-06 19:30:00
89a9fd60-ebf5-4ce8-8d03-30982162d010,create,,,,טל.רוזן@kalag.test,2026-09-02 17:50:00
89a9fd60-ebf5-4ce8-8d03-30982162d010,update,status,טרם הועלה,בטיפול,טל.רוזן@kalag.test,2026-09-09 19:50:00
768e71c8-c2fc-44bd-9f3d-c05b85dcb9a1,create,,,,מאיה.לוי@kalag.test,2026-06-22 19:48:00
bbdc0366-d265-46c0-959d-67b6fee80b7e,create,,,,יובל.שגיא@kalag.test,2026-08-07 17:08:00
bbdc0366-d265-46c0-959d-67b6fee80b7e,update,status,טרם הועלה,בטיפול,עידו.פרץ@kalag.test,2026-08-19 23:08:00
bbdc0366-d265-46c0-959d-67b6fee80b7e,update,note,,חומרים בדרך,טל.רוזן@kalag.test,2026-09-01 02:08:00
c8a759da-34ab-498a-9f51-93b05e1d915f,create,,,,טל.רוזן@kalag.test,2026-04-02 10:14:00
c8a759da-34ab-498a-9f51-93b05e1d915f,update,status,טרם הועלה,בטיפול,נועה.אבידן@kalag.test,2026-04-05 10:14:00
c8a759da-34ab-498a-9f51-93b05e1d915f,update,status,בטיפול,טופל,מאיה.לוי@kalag.test,2026-04-15 15:14:00
c8a759da-34ab-498a-9f51-93b05e1d915f,update,priority,בינוני,נמוך,טל.רוזן@kalag.test,2026-07-18 14:14:00
7868c8b8-9948-41c2-b577-aed94c759e39,create,,,,מאיה.לוי@kalag.test,2026-03-18 08:03:00
7868c8b8-9948-41c2-b577-aed94c759e39,update,status,טרם הועלה,בטיפול,דניאל.כהן@kalag.test,2026-03-30 08:03:00
7868c8b8-9948-41c2-b577-aed94c759e39,update,status,בטיפול,טופל,עידו.פרץ@kalag.test,2026-04-03 10:03:00
7868c8b8-9948-41c2-b577-aed94c759e39,update,opened_by_phone,,058-3166277,יובל.שגיא@kalag.test,2026-06-10 08:03:00
eeba8daa-f30a-4398-bdba-13698d9c0771,create,,,,מאיה.לוי@kalag.test,2026-04-25 19:30:00
eeba8daa-f30a-4398-bdba-13698d9c0771,update,status,טרם הועלה,בטיפול,עידו.פרץ@kalag.test,2026-05-01 19:30:00
14100bcd-8104-40f5-b272-a6d76dc4d72f,create,,,,נועה.אבידן@kalag.test,2026-09-08 17:39:00
d20868ec-b03d-4958-b12e-639df382132b,create,,,,יובל.שגיא@kalag.test,2026-08-05 17:13:00
d20868ec-b03d-4958-b12e-639df382132b,update,status,טרם הועלה,בטיפול,מאיה.לוי@kalag.test,2026-08-10 23:13:00
d20868ec-b03d-4958-b12e-639df382132b,update,status,בטיפול,טופל,דניאל.כהן@kalag.test,2026-08-19 00:13:00
cf706e6e-061a-4bc5-8ee7-05d8808b7fa7,create,,,,דניאל.כהן@kalag.test,2026-03-25 08:20:00
cf706e6e-061a-4bc5-8ee7-05d8808b7fa7,update,note,,חומרים בדרך,נועה.אבידן@kalag.test,2026-05-22 09:20:00
cf706e6e-061a-4bc5-8ee7-05d8808b7fa7,update,priority,גבוה,נמוך,נועה.אבידן@kalag.test,2026-06-03 18:20:00
257e5ecf-a44a-4c71-88f3-39c7bec1ab84,create,,,,מאיה.לוי@kalag.test,2026-04-11 14:03:00
257e5ecf-a44a-4c71-88f3-39c7bec1ab84,update,priority,נמוך,בינוני,מאיה.לוי@kalag.test,2026-05-01 14:03:00
257e5ecf-a44a-4c71-88f3-39c7bec1ab84,update,room_number,,116,נועה.אבידן@kalag.test,2026-06-01 20:03:00
a490d4cb-28f8-423a-b4be-df2c441b434c,create,,,,עידו.פרץ@kalag.test,2026-04-28 06:26:00
a490d4cb-28f8-423a-b4be-df2c441b434c,update,status,טרם הועלה,בטיפול,נועה.אבידן@kalag.test,2026-05-11 10:26:00
60a7a7c2-b86e-43a2-a58c-9a982ff7fd35,create,,,,מאיה.לוי@kalag.test,2026-07-25 09:18:00
60a7a7c2-b86e-43a2-a58c-9a982ff7fd35,update,room_number,,401,דניאל.כהן@kalag.test,2026-08-04 17:18:00
37711dac-2e6f-4000-af7c-23f161429497,create,,,,עידו.פרץ@kalag.test,2026-04-30 16:04:00
37711dac-2e6f-4000-af7c-23f161429497,update,status,טרם הועלה,בטיפול,יובל.שגיא@kalag.test,2026-05-06 16:04:00
37711dac-2e6f-4000-af7c-23f161429497,update,opened_by_name,,מאיה דהן,עידו.פרץ@kalag.test,2026-06-22 17:04:00
37711dac-2e6f-4000-af7c-23f161429497,update,opened_by_phone,,055-3899235,מאיה.לוי@kalag.test,2026-09-11 20:04:00
8eeff414-32dd-43ef-a888-dd1319767ad7,create,,,,טל.רוזן@kalag.test,2026-07-25 18:59:00
